"","horsepower_Num","mpg","cylinders","displacement","weight","acceleration","model.year","origin","car.name"
"1",130,18,8,307,3504,12,70,1,"chevrolet chevelle malibu"
"2",165,15,8,350,3693,11.5,70,1,"buick skylark 320"
"3",150,18,8,318,3436,11,70,1,"plymouth satellite"
"4",150,16,8,304,3433,12,70,1,"amc rebel sst"
"5",140,17,8,302,3449,10.5,70,1,"ford torino"
"6",198,15,8,429,4341,10,70,1,"ford galaxie 500"
"7",220,14,8,454,4354,9,70,1,"chevrolet impala"
"8",215,14,8,440,4312,8.5,70,1,"plymouth fury iii"
"9",225,14,8,455,4425,10,70,1,"pontiac catalina"
"10",190,15,8,390,3850,8.5,70,1,"amc ambassador dpl"
"11",170,15,8,383,3563,10,70,1,"dodge challenger se"
"12",160,14,8,340,3609,8,70,1,"plymouth 'cuda 340"
"13",150,15,8,400,3761,9.5,70,1,"chevrolet monte carlo"
"14",225,14,8,455,3086,10,70,1,"buick estate wagon (sw)"
"15",95,24,4,113,2372,15,70,3,"toyota corona mark ii"
"16",95,22,6,198,2833,15.5,70,1,"plymouth duster"
"17",97,18,6,199,2774,15.5,70,1,"amc hornet"
"18",85,21,6,200,2587,16,70,1,"ford maverick"
"19",88,27,4,97,2130,14.5,70,3,"datsun pl510"
"20",46,26,4,97,1835,20.5,70,2,"volkswagen 1131 deluxe sedan"
"21",87,25,4,110,2672,17.5,70,2,"peugeot 504"
"22",90,24,4,107,2430,14.5,70,2,"audi 100 ls"
"23",95,25,4,104,2375,17.5,70,2,"saab 99e"
"24",113,26,4,121,2234,12.5,70,2,"bmw 2002"
"25",90,21,6,199,2648,15,70,1,"amc gremlin"
"26",215,10,8,360,4615,14,70,1,"ford f250"
"27",200,10,8,307,4376,15,70,1,"chevy c20"
"28",210,11,8,318,4382,13.5,70,1,"dodge d200"
"29",193,9,8,304,4732,18.5,70,1,"hi 1200d"
"30",88,27,4,97,2130,14.5,71,3,"datsun pl510"
"31",90,28,4,140,2264,15.5,71,1,"chevrolet vega 2300"
"32",95,25,4,113,2228,14,71,3,"toyota corona"
"34",100,19,6,232,2634,13,71,1,"amc gremlin"
"35",105,16,6,225,3439,15.5,71,1,"plymouth satellite custom"
"36",100,17,6,250,3329,15.5,71,1,"chevrolet chevelle malibu"
"37",88,19,6,250,3302,15.5,71,1,"ford torino 500"
"38",100,18,6,232,3288,15.5,71,1,"amc matador"
"39",165,14,8,350,4209,12,71,1,"chevrolet impala"
"40",175,14,8,400,4464,11.5,71,1,"pontiac catalina brougham"
"41",153,14,8,351,4154,13.5,71,1,"ford galaxie 500"
"42",150,14,8,318,4096,13,71,1,"plymouth fury iii"
"43",180,12,8,383,4955,11.5,71,1,"dodge monaco (sw)"
"44",170,13,8,400,4746,12,71,1,"ford country squire (sw)"
"45",175,13,8,400,5140,12,71,1,"pontiac safari (sw)"
"46",110,18,6,258,2962,13.5,71,1,"amc hornet sportabout (sw)"
"47",72,22,4,140,2408,19,71,1,"chevrolet vega (sw)"
"48",100,19,6,250,3282,15,71,1,"pontiac firebird"
"49",88,18,6,250,3139,14.5,71,1,"ford mustang"
"50",86,23,4,122,2220,14,71,1,"mercury capri 2000"
"51",90,28,4,116,2123,14,71,2,"opel 1900"
"52",70,30,4,79,2074,19.5,71,2,"peugeot 304"
"53",76,30,4,88,2065,14.5,71,2,"fiat 124b"
"54",65,31,4,71,1773,19,71,3,"toyota corolla 1200"
"55",69,35,4,72,1613,18,71,3,"datsun 1200"
"56",60,27,4,97,1834,19,71,2,"volkswagen model 111"
"57",70,26,4,91,1955,20.5,71,1,"plymouth cricket"
"58",95,24,4,113,2278,15.5,72,3,"toyota corona hardtop"
"59",80,25,4,97.5,2126,17,72,1,"dodge colt hardtop"
"60",54,23,4,97,2254,23.5,72,2,"volkswagen type 3"
"61",90,20,4,140,2408,19.5,72,1,"chevrolet vega"
"62",86,21,4,122,2226,16.5,72,1,"ford pinto runabout"
"63",165,13,8,350,4274,12,72,1,"chevrolet impala"
"64",175,14,8,400,4385,12,72,1,"pontiac catalina"
"65",150,15,8,318,4135,13.5,72,1,"plymouth fury iii"
"66",153,14,8,351,4129,13,72,1,"ford galaxie 500"
"67",150,17,8,304,3672,11.5,72,1,"amc ambassador sst"
"68",208,11,8,429,4633,11,72,1,"mercury marquis"
"69",155,13,8,350,4502,13.5,72,1,"buick lesabre custom"
"70",160,12,8,350,4456,13.5,72,1,"oldsmobile delta 88 royale"
"71",190,13,8,400,4422,12.5,72,1,"chrysler newport royal"
"73",150,15,8,304,3892,12.5,72,1,"amc matador (sw)"
"74",130,13,8,307,4098,14,72,1,"chevrolet chevelle concours (sw)"
"75",140,13,8,302,4294,16,72,1,"ford gran torino (sw)"
"76",150,14,8,318,4077,14,72,1,"plymouth satellite custom (sw)"
"77",112,18,4,121,2933,14.5,72,2,"volvo 145e (sw)"
"78",76,22,4,121,2511,18,72,2,"volkswagen 411 (sw)"
"79",87,21,4,120,2979,19.5,72,2,"peugeot 504 (sw)"
"80",69,26,4,96,2189,18,72,2,"renault 12 (sw)"
"81",86,22,4,122,2395,16,72,1,"ford pinto (sw)"
"82",92,28,4,97,2288,17,72,3,"datsun 510 (sw)"
"83",97,23,4,120,2506,14.5,72,3,"toyouta corona mark ii (sw)"
"84",80,28,4,98,2164,15,72,1,"dodge colt (sw)"
"85",88,27,4,97,2100,16.5,72,3,"toyota corolla 1600 (sw)"
"86",175,13,8,350,4100,13,73,1,"buick century 350"
"87",150,14,8,304,3672,11.5,73,1,"amc matador"
"88",145,13,8,350,3988,13,73,1,"chevrolet malibu"
"89",137,14,8,302,4042,14.5,73,1,"ford gran torino"
"90",150,15,8,318,3777,12.5,73,1,"dodge coronet custom"
"91",198,12,8,429,4952,11.5,73,1,"mercury marquis brougham"
"92",150,13,8,400,4464,12,73,1,"chevrolet caprice classic"
"93",158,13,8,351,4363,13,73,1,"ford ltd"
"94",150,14,8,318,4237,14.5,73,1,"plymouth fury gran sedan"
"95",215,13,8,440,4735,11,73,1,"chrysler new yorker brougham"
"96",225,12,8,455,4951,11,73,1,"buick electra 225 custom"
"97",175,13,8,360,3821,11,73,1,"amc ambassador brougham"
"98",105,18,6,225,3121,16.5,73,1,"plymouth valiant"
"99",100,16,6,250,3278,18,73,1,"chevrolet nova custom"
"100",100,18,6,232,2945,16,73,1,"amc hornet"
"101",88,18,6,250,3021,16.5,73,1,"ford maverick"
"102",95,23,6,198,2904,16,73,1,"plymouth duster"
"103",46,26,4,97,1950,21,73,2,"volkswagen super beetle"
"104",150,11,8,400,4997,14,73,1,"chevrolet impala"
"105",167,12,8,400,4906,12.5,73,1,"ford country"
"106",170,13,8,360,4654,13,73,1,"plymouth custom suburb"
"107",180,12,8,350,4499,12.5,73,1,"oldsmobile vista cruiser"
"108",100,18,6,232,2789,15,73,1,"amc gremlin"
"109",88,20,4,97,2279,19,73,3,"toyota carina"
"110",72,21,4,140,2401,19.5,73,1,"chevrolet vega"
"111",94,22,4,108,2379,16.5,73,3,"datsun 610"
"113",85,19,4,122,2310,18.5,73,1,"ford pinto"
"114",107,21,6,155,2472,14,73,1,"mercury capri v6"
"115",90,26,4,98,2265,15.5,73,2,"fiat 124 sport coupe"
"116",145,15,8,350,4082,13,73,1,"chevrolet monte carlo s"
"117",230,16,8,400,4278,9.5,73,1,"pontiac grand prix"
"118",49,29,4,68,1867,19.5,73,2,"fiat 128"
"119",75,24,4,116,2158,15.5,73,2,"opel manta"
"120",91,20,4,114,2582,14,73,2,"audi 100ls"
"121",112,19,4,121,2868,15.5,73,2,"volvo 144ea"
"122",150,15,8,318,3399,11,73,1,"dodge dart custom"
"123",110,24,4,121,2660,14,73,2,"saab 99le"
"124",122,20,6,156,2807,13.5,73,3,"toyota mark ii"
"125",180,11,8,350,3664,11,73,1,"oldsmobile omega"
"126",95,20,6,198,3102,16.5,74,1,"plymouth duster"
"128",100,19,6,232,2901,16,74,1,"amc hornet"
"129",100,15,6,250,3336,17,74,1,"chevrolet nova"
"130",67,31,4,79,1950,19,74,3,"datsun b210"
"131",80,26,4,122,2451,16.5,74,1,"ford pinto"
"132",65,32,4,71,1836,21,74,3,"toyota corolla 1200"
"133",75,25,4,140,2542,17,74,1,"chevrolet vega"
